,Latitude,Longitude,Capital,State,Wind Energy (MWh),Solar Energy (kWh)
0,32.3473,-86.2666,Montgomery,AL,6397.481360065275,620.2337022225495
1,33.5722,-112.0891,Phoenix,AZ,3642.0942870143544,722.0101981697343
2,34.7255,-92.35799999999999,Little Rock,AR,7201.93618527781,601.7340987272424
3,38.5667,-121.4683,Sacramento,CA,4285.647395619965,634.4825825336803
4,39.7621,-104.8759,Denver,CO,4896.380589779294,632.5837073959201
5,41.7661,-72.6834,Hartford,CT,6045.881295556862,523.5017397387116
6,39.161,-75.5203,Dover,DE,9199.486537985378,553.0837270575212
7,30.4551,-84.2527,Tallahassee,FL,6817.5867977505895,625.7510831302313
8,33.7627,-84.4225,Atlanta,GA,7100.589540001883,605.504526457063
9,43.6007,-116.2312,Boise,ID,4241.395351992783,596.460577924805
10,39.771,-89.6537,Springfield,IL,9253.826897514156,565.3207756393371
11,39.7771,-86.1458,Indianapolis,IN,8003.592868308244,555.1901454808204
12,41.5725,-93.6105,Des Moines,IA,9259.398928746637,551.3536937994537
13,39.0346,-95.6955,Topeka,KS,9972.764462859443,578.5532078707656
14,38.1924,-84.8643,Frankfort,KY,6929.926023331026,569.0847553362679
15,30.4419,-91.131,Baton Rouge,LA,7034.572133597014,630.1240354968728
16,44.3341,-69.7319,Augusta,ME,8073.937494817483,487.29145264347557
17,38.9706,-76.5047,Annapolis,MD,8233.871919549532,561.7463370817533
18,42.3188,-71.0846,Boston,MA,9147.798568073462,516.0487448016909
19,42.7142,-84.5601,Lansing,MI,9186.775752966947,529.6923672721632
20,44.9477,-93.104,St. Paul,MN,7382.872003595042,513.2528383151908
21,32.3163,-90.2124,Jackson,MS,7526.537867167468,622.0197966000734
22,38.5676,-92.1759,Jefferson City,MO,7980.374649763872,575.0254685379589
23,46.5965,-112.0199,Helena,MT,5072.661481256918,549.3028249492352
24,40.8088,-96.6796,Lincoln,NE,10039.206035507184,571.1652778411564
25,39.1511,-119.7474,Carson City,NV,6208.58903225792,662.4755311692409
26,43.2305,-71.5595,Concord,NH,6493.009125200464,515.5072079360865
27,40.2236,-74.7641,Trenton,NJ,7541.809382545551,535.095576857346
28,35.6619,-105.9819,Santa Fe,NM,8336.901141240933,713.4168046188086
29,42.6664,-73.7987,Albany,NY,7161.6685428938,534.7018068159412
30,35.8324,-78.6438,Raleigh,NC,7364.307761354191,587.8385625425369
31,46.81399999999999,-100.7695,Bismarck,ND,9510.667881009253,525.4980031968818
32,39.986,-82.9851,Columbus,OH,6940.216192158383,550.0386027199148
33,35.4676,-97.5137,Oklahoma City,OK,11085.769734911983,620.9035424884545
34,44.9232,-123.0245,Salem,OR,5460.517300556324,485.76232643941967
35,40.2752,-76.8843,Harrisburg,PA,5891.664418921586,551.5530059974135
36,41.823,-71.4187,Providence,RI,7483.344328420672,514.917403931737
37,34.0376,-80.9037,Columbia,SC,7190.455092355378,609.4647100216737
38,44.3748,-100.3205,Pierre,SD,9451.226901776476,554.706007897991
39,36.1715,-86.7843,Nashville,TN,5773.8448188167895,587.2960662778581
40,30.3006,-97.7517,Austin,TX,7254.167125501712,632.6547702160148
41,40.7774,-111.93,Salt Lake City,UT,4319.877425451494,632.0201724407334
42,44.2658,-72.5717,Montpelier,VT,5261.761615620334,522.1838337809501
43,37.5295,-77.4756,Richmond,VA,7587.649426726378,570.4567715491612
44,47.0417,-122.8959,Olympia,WA,4915.800347032583,438.72774292806196
45,38.3484,-81.6323,Charleston,WV,5822.565078373568,566.0546816382415
46,43.0827,-89.3923,Madison,WI,9227.61823840854,531.7173054835797
47,41.1405,-104.7927,Cheyenne,WY,11227.151042137237,611.8516518785526
